OGD_ID,LOK_NR,LOK_TEXT,LOK_STATUS,LOK_ART,LOK_GEOMETRIE
LOKALISATION_164,1016,In der Sommerau,1,1,POINT (8.57843521 47.36162557)
LOKALISATION_165,2209,Wirzenweid,1,1,POINT (8.58287847 47.35702957)
LOKALISATION_166,384,Denzlerstrasse,1,1,POINT (8.51251411 47.37800156)
LOKALISATION_167,326,Bullingerhof,1,2,POINT (8.51311378 47.37937473)
LOKALISATION_168,1131,Knüslistrasse,1,1,POINT (8.50905325 47.38439710)
LOKALISATION_169,2259,Zimmerlistrasse,1,1,POINT (8.50990430 47.38384549)
LOKALISATION_170,433,Eglistrasse,1,1,POINT (8.51049403 47.38354342)
LOKALISATION_171,1069,Karl-Bürkli-Strasse,1,1,POINT (8.51749838 47.37680884)
LOKALISATION_172,487,Erismannhof,1,2,POINT (8.51945805 47.37939252)
LOKALISATION_173,1605,Remisenstrasse,1,1,POINT (8.52201891 47.38087385)
LOKALISATION_174,1310,Magnusstrasse,1,1,POINT (8.52480198 47.37977599)
LOKALISATION_175,1800,Schützenrain,1,1,POINT (8.48567249 47.37213376)
LOKALISATION_176,1841,Selnaustrasse,1,1,POINT (8.53192794 47.37192157)
LOKALISATION_177,423,Edelweissstrasse,1,1,POINT (8.49937217 47.38119641)
LOKALISATION_178,1535,Pfingstweidbrücke,1,1,POINT (8.49976922 47.39381185)
LOKALISATION_179,1358,Meierwiesenstrasse,1,1,POINT (8.49374521 47.39719854)
LOKALISATION_180,2077,Untermoosstrasse,1,1,POINT (8.48204524 47.37896980)
LOKALISATION_181,520,Feldblumenstrasse,1,1,POINT (8.48196241 47.38499748)
LOKALISATION_182,1719,Schächenstrasse,1,1,POINT (8.47727050 47.38892796)
LOKALISATION_183,1757,Schlierenberg,1,1,POINT (8.47566173 47.38902947)
LOKALISATION_184,2100,Waaggasse,1,1,POINT (8.53994171 47.37020146)
LOKALISATION_185,1525,Pelikanplatz,1,2,POINT (8.53612052 47.37134094)
LOKALISATION_186,2250,Zeugwartgasse,1,1,POINT (8.53993163 47.37104044)
LOKALISATION_187,1191,Kuttelgasse,1,1,POINT (8.53913618 47.37289653)
LOKALISATION_188,2531,Kopfweidenweg,1,1,POINT (8.52512083 47.35179469)
LOKALISATION_189,2532,Haspelsteg,0,1,POINT (8.51948723 47.34079811)
LOKALISATION_190,578,Freihofstrasse,1,1,POINT (8.50185059 47.38617385)
LOKALISATION_191,2530,Kopfweidenplatz,1,2,POINT (8.52425244 47.35174824)
LOKALISATION_192,1696,Rütiwiesweg,1,1,POINT (8.49354006 47.37789458)
LOKALISATION_193,688,Gmeimeriweg,1,1,POINT (8.49488201 47.38030146)
LOKALISATION_194,156,Bändliweg,1,1,POINT (8.48525116 47.39578412)
LOKALISATION_195,1772,Schoffelgasse,1,1,POINT (8.54383283 47.37118258)
LOKALISATION_196,1677,Rüdenplatz,1,2,POINT (8.54331461 47.37091345)
LOKALISATION_197,1644,Römergasse,1,1,POINT (8.54408621 47.37048889)
LOKALISATION_198,2280,Zwingliplatz,1,2,POINT (8.54416030 47.37037733)
LOKALISATION_199,239,Blaufahnenstrasse,1,1,POINT (8.54525923 47.37092806)
LOKALISATION_200,2232,Zähringerstrasse,1,1,POINT (8.54461514 47.37522146)
LOKALISATION_201,1778,Schöneggstrasse,1,1,POINT (8.52686468 47.38008160)
LOKALISATION_202,2260,Zinistrasse,1,1,POINT (8.52624627 47.37954094)
LOKALISATION_203,1642,Rolandstrasse,1,1,POINT (8.52570651 47.37957171)
LOKALISATION_204,744,Gugolzstrasse,1,1,POINT (8.51272498 47.38221732)
LOKALISATION_205,464,Elsastrasse,1,1,POINT (8.51441218 47.37698907)
